year,tag,countryName,population,gdp,rgoUnemploymentRate,factoryUnemploymentRate,rgoWorkforce,factoryWorkforce,continent,gdpPerCapita,totalPercentageOfUnemployed
1993,YUG,Yugoslavia,7835904,46642603000,0.5066643,-6.4152203,1608955,179495,Europe,5952,-0.2
1993,ZAM,Zambia,8160484,16415970000,2.3826997,4.113115,1737315,118499,Africa,2012,2.5
1993,ZIM,Zimbabwe,10411964,30329327000,0.5484604,-8.0402975,2243553,160703,Africa,2913,-0.1
1993,ZUL,Zulu,6318012,25208954000,2.6286237,-4.780775,1284969,153176,Africa,3990,1.8
1994,AAB,Antigua And Barbuda,65264,176757760,1.9850602,-11.764706,14458,697,North America,2708,1.4
1994,ABK,Abkhazia,537492,1258501400,2.605971,14.157158,111705,10779,Asia,2341,3.6
1994,ABZ,Ambazonia,0,0,0,0,0,0,Africa,0,0
1994,AFG,Afghanistan,14650860,20542563000,4.3369365,-10.410226,3201269,127125,Asia,1402,3.7
1994,AGI,Anguilla,8972,97100,0,-156.25,1989,16,North America,11,-1.2
1994,ALA,Aland,26968,14171948,0.6156372,59.020042,4873,898,Europe,526,9.7
1994,ALB,Albania,3263444,5975540000,1.1327213,-2.6203222,680750,72472,Europe,1831,0.7
1994,ALG,Algeria,27548780,91107184000,0.73418236,63.932888,5470848,642713,Africa,3307,7.3
1994,ANG,Angola,9972072,49092730000,2.467213,1.1251131,2025484,217667,Africa,4923,2.4
1994,ARG,Argentina,33315848,2.14E+11,2.2291903,-4.295675,6313907,1161331,South America,6410,1.2
1994,ARM,Armenia,3326916,8096466000,1.7560456,-5.4696608,659607,90938,Europe,2434,0.9
1994,AST,Australia,17009188,96902520000,1.0206491,-2.443829,3189735,648777,Oceania,5697,0.4
1994,AUS,Austria,7754188,1.01E+11,0.22540122,-4.240815,1506203,234271,Europe,12993,-0.4
1994,AZB,Azerbaijan,7805488,67104710000,0.35664093,-5.2285824,1597405,148874,Asia,8597,-0.1
1994,BAH,Bahamas,238440,2677195400,0.1146045,-3.8136714,46246,7578,North America,11228,-0.4
1994,BAR,Barbados,265224,3870732000,0,0,56548,4221,North America,14594,0
1994,BEL,Belgium,11166252,92974560000,0.053819805,-3.4574594,2066154,466354,Europe,8326,-0.6
1994,BEN,Benin,4791568,7788689400,1.287392,-0.31056657,1014454,82108,Africa,1625,1.2
1994,BEU,Bermuda,50248,126899730,0.027447391,-79.66102,10930,118,North America,2525,-0.9
1994,BHR,Bahrain,512900,11658572400,2.656682,-3.6059527,96549,15724,Asia,22731,1.8
1994,BHU,Bhutan,637568,572943600,3.9033365,62.887264,138087,7779,Asia,899,7
1994,BIF,Biafra,23508640,1.01E+11,4.9289637,-0.064677164,4935845,428281,Africa,4280,4.5
1994,BLO,Balochistan,0,0,0,0,0,0,Asia,0,0
1994,BLZ,Belize,189584,220797470,0.77984405,14.764668,40008,3102,North America,1165,1.8
1994,BNG,Bangladesh,117405408,1.86E+11,2.3696404,1.254127,25651022,1527118,Asia,1587,2.3
1994,BOL,Bolivia,6784108,32808280000,2.6858497,4.5871077,1358639,172309,Sout America,4836,2.9
